trade_date,asset,side,price,shares,amount,cost
2024-01-05,688298.SH,SELL,37.16,900,33444.0,60.199200000000005
2024-01-03,002002.SZ,BUY,0.9,37000,33300.0,26.639999999999997
2024-01-05,600908.SH,BUY,4.97,6700,33299.0,26.6392
2024-01-03,603603.SH,BUY,1.37,24300,33291.0,26.632799999999996
2024-01-03,600665.SH,BUY,3.78,8800,33264.0,26.611199999999997
2024-01-03,601101.SH,BUY,6.52,5100,33252.0,26.601599999999998
2024-01-03,600368.SH,BUY,4.1,8100,33210.0,26.567999999999998
2024-01-03,002807.SZ,BUY,3.57,9300,33201.0,26.560799999999997
2024-01-03,600340.SH,BUY,1.71,19400,33174.0,26.539199999999997
2024-01-03,601528.SH,BUY,4.95,6700,33165.0,26.531999999999996
2024-01-03,600502.SH,BUY,4.67,7100,33157.0,26.525599999999997
2024-01-03,600035.SH,BUY,3.9,8500,33150.0,26.519999999999996
2024-01-03,600658.SH,BUY,4.42,7500,33150.0,26.519999999999996
2024-01-03,601860.SH,BUY,2.53,13100,33143.0,26.5144
2024-01-03,000090.SZ,BUY,4.54,7300,33142.0,26.513599999999997
2024-01-03,600075.SH,BUY,4.36,7600,33136.0,26.508799999999997
2024-01-03,000672.SZ,BUY,8.08,4100,33128.0,26.502399999999998
2024-01-03,600064.SH,BUY,6.02,5500,33110.0,26.487999999999996
2024-01-03,603323.SH,BUY,4.19,7900,33101.0,26.4808
2024-01-03,002081.SZ,BUY,3.76,8800,33088.0,26.470399999999998
