run_id,started_at,finished_at,status,artifact_root,short_sample
demo_pipeline,2026-03-28T16:56:43,2026-03-28T16:56:48,success,D:\quant_lab\runs\demo_pipeline,True
20260328_193021_panel_smoke,2026-03-28T19:30:21,2026-03-28T19:30:22,success,D:\quant_lab\runs\20260328_193021_panel_smoke,False
20260328_193022_panel_smoke,2026-03-28T19:30:22,2026-03-28T19:30:22,success,D:\quant_lab\runs\20260328_193022_panel_smoke,True
20260328_193022_panel_empty,2026-03-28T19:30:22,2026-03-28T19:30:22,failed,D:\quant_lab\runs\20260328_193022_panel_empty,False
20260328_193501_panel_run,2026-03-28T19:35:01,2026-03-28T19:35:01,failed,D:\quant_lab\runs\20260328_193501_panel_run,False
20260328_193511_panel_run,2026-03-28T19:35:11,2026-03-28T19:35:11,failed,D:\quant_lab\runs\20260328_193511_panel_run,False
20260328_193512_panel_run,2026-03-28T19:35:12,2026-03-28T19:35:12,failed,D:\quant_lab\runs\20260328_193512_panel_run,False
20260328_193513_panel_run,2026-03-28T19:35:13,2026-03-28T19:35:13,failed,D:\quant_lab\runs\20260328_193513_panel_run,False
20260328_193514_panel_run,2026-03-28T19:35:14,2026-03-28T19:35:14,failed,D:\quant_lab\runs\20260328_193514_panel_run,False
20260328_193516_panel_run,2026-03-28T19:35:16,2026-03-28T19:35:16,failed,D:\quant_lab\runs\20260328_193516_panel_run,False
20260328_193517_panel_run,2026-03-28T19:35:17,2026-03-28T19:35:17,failed,D:\quant_lab\runs\20260328_193517_panel_run,False
20260328_193518_panel_run,2026-03-28T19:35:18,2026-03-28T19:35:19,failed,D:\quant_lab\runs\20260328_193518_panel_run,False
20260328_193519_panel_run,2026-03-28T19:35:19,2026-03-28T19:35:20,success,D:\quant_lab\runs\20260328_193519_panel_run,True
20260328_193520_panel_run,2026-03-28T19:35:20,2026-03-28T19:35:20,failed,D:\quant_lab\runs\20260328_193520_panel_run,False
20260328_193521_panel_run,2026-03-28T19:35:21,2026-03-28T19:35:21,failed,D:\quant_lab\runs\20260328_193521_panel_run,False
20260328_193522_panel_run,2026-03-28T19:35:22,2026-03-28T19:35:22,success,D:\quant_lab\runs\20260328_193522_panel_run,True
20260328_193653_panel_run,2026-03-28T19:36:53,2026-03-28T19:36:53,failed,D:\quant_lab\runs\20260328_193653_panel_run,False
20260328_193742_panel_debug,2026-03-28T19:37:42,2026-03-28T19:37:44,success,D:\quant_lab\runs\20260328_193742_panel_debug,True
20260328_193757_panel_defaultish,2026-03-28T19:37:57,2026-03-28T19:38:09,success,D:\quant_lab\runs\20260328_193757_panel_defaultish,False
20260328_193853_panel_run,2026-03-28T19:38:53,2026-03-28T19:38:59,success,D:\quant_lab\runs\20260328_193853_panel_run,False
20260328_194033_single_asset_debug,2026-03-28T19:40:33,2026-03-28T19:40:33,failed,D:\quant_lab\runs\20260328_194033_single_asset_debug,False
20260328_194336_panel_run,2026-03-28T19:43:36,2026-03-28T19:43:42,success,D:\quant_lab\runs\20260328_194336_panel_run,False
20260328_195833_panel_stage2_update,2026-03-28T19:58:33,2026-03-28T19:58:35,success,D:\quant_lab\runs\20260328_195833_panel_stage2_update,False
20260328_195835_panel_stage2_update,2026-03-28T19:58:35,2026-03-28T19:58:35,success,D:\quant_lab\runs\20260328_195835_panel_stage2_update,True
20260328_200322_panel_run,2026-03-28T20:03:22,2026-03-28T20:03:22,success,D:\quant_lab\runs\20260328_200322_panel_run,True
20260328_200320_panel_run,2026-03-28T20:03:20,2026-03-28T20:03:22,success,D:\quant_lab\runs\20260328_200320_panel_run,True
20260328_200359_panel_run,2026-03-28T20:03:59,2026-03-28T20:04:03,success,D:\quant_lab\runs\20260328_200359_panel_run,False
